group_id,source,method,payload_level,encryption,psnr,ssim,fsim
1,real,lsb,low,plain,57.1756421192257,0.9990049776824964,
1,real,lsb,low,encrypted,57.16475288054752,0.9990069270517543,
1,ml_a,lsb,low,plain,57.15256809858157,0.9985568058245615,
1,ml_a,lsb,low,encrypted,57.16554872896811,0.9985640048875521,
1,ml_b,lsb,low,plain,57.15958341762452,0.9981659711710374,
1,ml_b,lsb,low,encrypted,57.17524325089873,0.9981821337020459,
2,real,lsb,low,plain,57.18909210856452,0.9997766260396267,
2,real,lsb,low,encrypted,57.169131852732924,0.9997778784427205,
2,ml_a,lsb,low,plain,57.15627289285105,0.998772185932928,
2,ml_a,lsb,low,encrypted,57.16422239594442,0.9987690217867158,
2,ml_b,lsb,low,plain,57.15151016615795,0.9991188149323118,
2,ml_b,lsb,low,encrypted,57.15045249138173,0.9991235692010858,
3,real,lsb,low,plain,57.15309716145039,0.9988671125344112,
3,real,lsb,low,encrypted,57.137516836803826,0.9988665464380985,
3,ml_a,lsb,low,plain,57.1640897849177,0.9985713726787245,
3,ml_a,lsb,low,encrypted,57.141340722398496,0.9985569347148779,
3,ml_b,lsb,low,plain,57.151906860617004,0.9997719956320099,
3,ml_b,lsb,low,encrypted,57.17471148344134,0.9997702373498016,
4,real,lsb,low,plain,57.15283262195959,0.999370209666584,
4,real,lsb,low,encrypted,57.18176269198125,0.9993653234278962,
4,ml_a,lsb,low,plain,57.182162159549314,0.9987957091899834,
4,ml_a,lsb,low,encrypted,57.16249876835856,0.998790148061794,
4,ml_b,lsb,low,plain,57.16767170469413,0.9981291636125041,
4,ml_b,lsb,low,encrypted,57.1467526568277,0.9981184380756059,
5,real,lsb,low,plain,57.17604102418923,0.9988104384653161,
5,real,lsb,low,encrypted,57.180298291844466,0.9988153665703416,
5,ml_a,lsb,low,plain,57.15640526540143,0.998489169255462,
5,ml_a,lsb,low,encrypted,57.157994050792865,0.9984926220057273,
5,ml_b,lsb,low,plain,57.17417978108771,0.999207163050885,
5,ml_b,lsb,low,encrypted,57.16355938129966,0.9992026592332209,
6,real,lsb,low,plain,57.15772921286132,0.9997059586625061,
6,real,lsb,low,encrypted,57.15812647581518,0.9997090169463233,
6,ml_a,lsb,low,plain,57.13198475785614,0.9991899800372053,
6,ml_a,lsb,low,encrypted,57.15243584293424,0.9991935589928405,
6,ml_b,lsb,low,plain,57.172850809927965,0.9982764991661668,
